tx	gene_id	SAMN36978213_MG	SAMN36978214_MG	SAMN36978215_MG	SAMN36978216_A1G	SAMN36978217_A1G	SAMN36978218_A1G	SAMN36978219_GC	SAMN36978220_GC	SAMN36978221_GC
ENSMUST00000000001	ENSMUSG00000000001	47.541494	43.504437	47.904391	41.895588	43.393272	43.831256	39.844493	31.451176	25.660122
ENSMUST00000000003	ENSMUSG00000000003	0	0	0	0	0	0	0	0	0
ENSMUST00000114041	ENSMUSG00000000003	0	0	0	0	0	0	0	0	0
ENSMUST00000000028	ENSMUSG00000000028	0.189777	0.983096	0.965109	1.271461	0.985084	1.080582	0.321485	0.27208	0.255435
ENSMUST00000096990	ENSMUSG00000000028	0.862367	0	0	0	0	0	0	0.328873	0.596152
ENSMUST00000115585	ENSMUSG00000000028	0	0	0	0	0.345084	0	0.132008	0.183701	0
ENSMUST00000132294	ENSMUSG00000000031	0	0	0	0	0	0	0	0	0
ENSMUST00000136359	ENSMUSG00000000031	0	0	0	0.188045	0	0.059219	0.110224	0.463239	0
ENSMUST00000140716	ENSMUSG00000000031	0	0	0	0	0.236494	0	0	0	0
ENSMUST00000149974	ENSMUSG00000000031	0	0	0.117294	0	0.555985	0	0.314036	0	0.078759
ENSMUST00000152754	ENSMUSG00000000031	0.253823	0.081121	0	0	0	0	0	0	0
ENSMUST00000019101	ENSMUSG00000000037	0	0	0	0	0	0	0	0	0
ENSMUST00000074802	ENSMUSG00000000037	0	0	0	0	0	0	0	0	0
ENSMUST00000077375	ENSMUSG00000000037	0	0	0	0	0	0	0	0	0
ENSMUST00000087090	ENSMUSG00000000037	0	0	0	0	0	0	0	0	0
ENSMUST00000101113	ENSMUSG00000000037	0	0	0	0	0	0	0	0	0
ENSMUST00000112345	ENSMUSG00000000037	0	0	0	0	0	0	0	0	0
ENSMUST00000124775	ENSMUSG00000000037	0	0	0	0	0	0	0	0	0
ENSMUST00000000049	ENSMUSG00000000049	2633.474646	2636.381617	2561.006908	2057.438266	1983.178935	1911.628987	1642.343057	1521.725042	1419.565398
ENSMUST00000133383	ENSMUSG00000000049	0	0	0	0	0	0	0	0	0
ENSMUST00000146050	ENSMUSG00000000049	0	0	0	0	0	0	0	0	0
ENSMUST00000152958	ENSMUSG00000000049	0	0.24939	0	0	0	0	0	0	0
ENSMUST00000103015	ENSMUSG00000000056	9.40767	11.556444	12.288745	9.741112	9.400318	8.69308	10.074236	8.352318	5.3152
ENSMUST00000151088	ENSMUSG00000000056	0	0	0	0.4211	0	0.228163	0.277611	1.187457	0
ENSMUST00000154047	ENSMUSG00000000056	0	0	0	0	2.712368	0	0	0	0
ENSMUST00000000058	ENSMUSG00000000058	0.9943	2.306197	2.41856	1.852698	1.729711	2.204322	0.856388	1.909977	1.11885
ENSMUST00000115459	ENSMUSG00000000058	0.268517	0	0	0.209157	0	0	0	0	0
ENSMUST00000115462	ENSMUSG00000000058	0	0	0	0	0	0	0	0	0
ENSMUST00000000080	ENSMUSG00000000078	3.257367	2.479088	2.864639	2.500138	2.423358	2.462738	2.23575	1.826255	1.705604
ENSMUST00000000087	ENSMUSG00000000085	2.420389	1.560696	2.517683	2.145338	2.142443	1.768956	0.869094	1.981676	0
ENSMUST00000064991	ENSMUSG00000000085	0	0.995278	0.161767	0	0.117276	0.286018	0	0	1.325633
ENSMUST00000106298	ENSMUSG00000000085	0.767843	0	0	0	0	0	1.794559	0	0
ENSMUST00000106301	ENSMUSG00000000085	0	0	0	0	0	0	0	0	0
ENSMUST00000122860	ENSMUSG00000000085	0	0	0	0	0	0	0	0	0
ENSMUST00000132116	ENSMUSG00000000085	0.329638	0	0	0.46157	0	0	0.212872	0.293238	0
ENSMUST00000133169	ENSMUSG00000000085	0	0	0	0	0	0	0	0.277886	0
ENSMUST00000133290	ENSMUSG00000000085	0	0	0	0	0	0	0	0	0
ENSMUST00000134375	ENSMUSG00000000085	0.14644	0	0.113184	0.487047	0	0.444017	0	0	0.068372
ENSMUST00000136801	ENSMUSG00000000085	0	0	0	0	0.428987	0	1.791439	0	2.288592
ENSMUST00000144555	ENSMUSG00000000085	0	0	0	0	0	0	0	0	0
ENSMUST00000144862	ENSMUSG00000000085	0	0	0	0	0	0	0	0	0
ENSMUST00000151345	ENSMUSG00000000085	0	0	0	0	0	0	0	0	0
ENSMUST00000153099	ENSMUSG00000000085	0	0	0.060392	0	0	0	0	0	0
ENSMUST00000000090	ENSMUSG00000000088	275.797396	315.119031	311.797135	361.504422	389.742566	356.185862	344.25898	403.437812	314.42585
ENSMUST00000000095	ENSMUSG00000000093	1.060383	1.447255	0.849399	0.706151	0.512005	0.850813	0.722863	0.852828	0.492124
ENSMUST00000000096	ENSMUSG00000000094	0	0	0	0	0	0	0	0	0
ENSMUST00000108045	ENSMUSG00000000094	0	0	0	0	0	0	0	0	0
ENSMUST00000108047	ENSMUSG00000000094	0	0	0	0	0	0	0	0	0
ENSMUST00000115891	ENSMUSG00000000103	0	0	0	0	0	0	0	0	0
ENSMUST00000187148	ENSMUSG00000000103	0	0	0	0	0	0	0	0	0
ENSMUST00000000122	ENSMUSG00000000120	1.180215	1.235674	0.824318	1.409625	1.52068	0.90793	1.245658	0.716064	0.447579
ENSMUST00000000127	ENSMUSG00000000125	0	0	0	0	0	0	0	0	0
ENSMUST00000000128	ENSMUSG00000000126	0	0	0.134446	0	0	0	0	0	0
ENSMUST00000108783	ENSMUSG00000000126	0.400049	0.339779	0	0.28751	0.658847	0.297767	0.217848	0.173266	0.250771
ENSMUST00000000129	ENSMUSG00000000127	2.276547	2.05381	1.66977	1.882438	2.377058	1.400889	3.092366	1.478093	1.312776
ENSMUST00000038080	ENSMUSG00000000127	0	0	0.118503	0.309013	0	0.253582	0.060616	0.243231	0.071204
ENSMUST00000009344	ENSMUSG00000000131	0	0	0.591941	1.521242	0.138068	1.397614	1.88696	0.870579	0.117317
ENSMUST00000163959	ENSMUSG00000000131	0	0	0	0	0	0	0	0	0.170935
ENSMUST00000164741	ENSMUSG00000000131	0	0	0	0	0	0	0	0	0
ENSMUST00000165608	ENSMUSG00000000131	0	0	0	0	0	0	0	0	1.107081
ENSMUST00000165660	ENSMUSG00000000131	0	0	0	0	0	0	0	0	0
ENSMUST00000166368	ENSMUSG00000000131	0	0	0	0	0	0	0	0	0
ENSMUST00000166538	ENSMUSG00000000131	0	0	0	0	0	0	0	0	0
ENSMUST00000166540	ENSMUSG00000000131	0	0	0	0	0	0.224389	0	0	0
ENSMUST00000166719	ENSMUSG00000000131	0.258571	0	0.191837	0	1.392997	0.375418	0	0.780342	0
ENSMUST00000167147	ENSMUSG00000000131	0	0	0	0	0	0	0	0	0
ENSMUST00000167268	ENSMUSG00000000131	0	0.113262	0	0	0	0.025534	0	0	0
ENSMUST00000167315	ENSMUSG00000000131	0.060813	0	0.155474	0	0	0	0	0	0
ENSMUST00000168189	ENSMUSG00000000131	8.240791	8.328548	9.527583	7.240314	7.008011	7.692866	5.492738	5.558944	4.602072
ENSMUST00000168564	ENSMUSG00000000131	0	0	0	0.264284	0	1.006654	0.669599	0	0
ENSMUST00000168649	ENSMUSG00000000131	0.42939	0	0	0	0	1.133138	0	0	0
ENSMUST00000168933	ENSMUSG00000000131	0	0	0	0	0	0	0	2.146619	0
ENSMUST00000169059	ENSMUSG00000000131	0	0	0	0	0	0	0	0	0
ENSMUST00000170675	ENSMUSG00000000131	0.519583	0.857485	0.895575	0.684497	0.564207	1.057831	0.743777	0.449662	0.435157
ENSMUST00000171861	ENSMUSG00000000131	1.156457	2.401567	1.000181	0	1.554725	0	0.92177	1.782312	3.831935
ENSMUST00000077680	ENSMUSG00000000134	3.381917	5.808227	8.813341	6.260214	8.791431	10.132993	6.2955	3.415422	2.287403
ENSMUST00000079542	ENSMUSG00000000134	0	0	1.010298	0	0.407871	0	0	0	0
ENSMUST00000101695	ENSMUSG00000000134	0	0	0	0	0	0	0	0	0
ENSMUST00000115677	ENSMUSG00000000134	5.306938	0	0	0	0	0	0	0	0
ENSMUST00000115678	ENSMUSG00000000134	1.517859	2.151785	0	2.051672	0	2.990613	2.961444	2.8969	3.19718
ENSMUST00000115679	ENSMUSG00000000134	0.675478	2.14618	1.831216	1.078938	0	1.174398	0.193466	1.578218	0.794522
ENSMUST00000115680	ENSMUSG00000000134	0	0	0	0	0	0	0	0	0
ENSMUST00000126694	ENSMUSG00000000134	0.216696	0.238494	0.245476	0.103432	0.049558	0.309571	0.153093	0.066255	0.148722
ENSMUST00000132209	ENSMUSG00000000134	0	4.115025	0	0	0	0	0	0	0
ENSMUST00000133456	ENSMUSG00000000134	0	0.47212	0	0	0	0	0	0.253322	0.413568
ENSMUST00000137467	ENSMUSG00000000134	0	0	0	0	0	0.240742	0	0.24147	0.090164
